uid,gid,player,del,first,last,name,position1,pat,fgs,fgm,fgl,fp,game,seas,year,team
3009,1513,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,5,0,0,0,5,13,10,2005,NE
3012,1514,MB-4600,KEEP,Matt,Bryant,Matt Bryant,K,2,2,0,0,8,12,4,2005,TB
3023,1520,MN-0800,KEEP,Mike,Nugent,Mike Nugent,K,2,4,0,0,14,12,1,2005,NYJ
3028,1522,RG-1500,KEEP,Robbie,Gould,Robbie Gould,K,0,1,0,0,3,10,1,2005,CHI
3041,1529,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,4,0,0,0,4,14,10,2005,NE
3054,1535,MN-0800,KEEP,Mike,Nugent,Mike Nugent,K,2,0,2,0,10,13,1,2005,NYJ
3068,1542,RG-1500,KEEP,Robbie,Gould,Robbie Gould,K,1,3,0,0,10,11,1,2005,CHI
3093,1555,MB-4600,KEEP,Matt,Bryant,Matt Bryant,K,3,0,1,1,12,13,4,2005,TB
3096,1557,RG-1500,KEEP,Robbie,Gould,Robbie Gould,K,3,0,1,0,7,12,1,2005,CHI
3100,1559,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,4,1,0,0,7,15,10,2005,NE
3101,1559,MN-0800,KEEP,Mike,Nugent,Mike Nugent,K,3,0,0,0,3,14,1,2005,NYJ
3118,1568,RG-1500,KEEP,Robbie,Gould,Robbie Gould,K,1,1,0,0,4,13,1,2005,CHI
3121,1569,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,1,1,1,0,8,16,10,2005,NE
3124,1570,MN-0800,KEEP,Mike,Nugent,Mike Nugent,K,3,2,1,0,13,15,1,2005,NYJ
3131,1574,MB-4600,KEEP,Matt,Bryant,Matt Bryant,K,3,1,1,0,10,14,4,2005,TB
3135,1576,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,4,0,0,0,4,17,10,2005,NE
3138,1577,MB-4600,KEEP,Matt,Bryant,Matt Bryant,K,1,0,1,0,5,15,4,2005,TB
3142,1580,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,1,1,1,0,8,18,10,2005,NE
3147,1582,RG-1500,KEEP,Robbie,Gould,Robbie Gould,K,3,0,0,0,3,14,1,2005,CHI
3162,1590,SG-0800,KEEP,Stephen,Gostkowski,Stephen Gostkowski,K,2,1,0,0,5,1,1,2006,NE
3169,1594,MN-0800,KEEP,Mike,Nugent,Mike Nugent,K,2,1,0,0,5,1,2,2006,NYJ
3174,1597,RG-1500,KEEP,Robbie,Gould,Robbie Gould,K,2,3,1,0,15,1,2,2006,CHI
3180,1600,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,2,3,1,0,15,1,11,2006,IND
3191,1606,RG-1500,KEEP,Robbie,Gould,Robbie Gould,K,4,1,1,0,11,2,2,2006,CHI
3193,1607,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,4,2,1,0,14,2,11,2006,IND
3202,1611,MB-4600,KEEP,Matt,Bryant,Matt Bryant,K,0,1,0,0,3,1,5,2006,TB
3210,1615,SG-0800,KEEP,Stephen,Gostkowski,Stephen Gostkowski,K,3,1,0,0,6,2,1,2006,NE
3211,1615,MN-0800,KEEP,Mike,Nugent,Mike Nugent,K,2,0,1,0,6,2,2,2006,NYJ
3218,1619,MB-4600,KEEP,Matt,Bryant,Matt Bryant,K,3,1,0,0,6,2,5,2006,TB
3220,1620,RG-1500,KEEP,Robbie,Gould,Robbie Gould,K,1,2,2,0,15,3,2,2006,CHI
3228,1624,MN-0800,KEEP,Mike,Nugent,Mike Nugent,K,4,0,0,0,4,3,2,2006,NYJ
3242,1631,SG-0800,KEEP,Stephen,Gostkowski,Stephen Gostkowski,K,1,0,0,0,1,3,1,2006,NE
3251,1635,MN-0800,KEEP,Mike,Nugent,Mike Nugent,K,4,0,0,0,4,4,2,2006,NYJ
3269,1644,SG-0800,KEEP,Stephen,Gostkowski,Stephen Gostkowski,K,5,1,0,0,8,4,1,2006,NE
3271,1645,RG-1500,KEEP,Robbie,Gould,Robbie Gould,K,4,2,1,0,14,4,2,2006,CHI
3274,1647,RG-1500,KEEP,Robbie,Gould,Robbie Gould,K,4,1,3,0,19,5,2,2006,CHI
3280,1650,SG-0800,KEEP,Stephen,Gostkowski,Stephen Gostkowski,K,2,2,0,0,8,5,1,2006,NE
3284,1652,MB-4600,KEEP,Matt,Bryant,Matt Bryant,K,3,0,0,0,3,3,5,2006,TB
3306,1663,MB-4600,KEEP,Matt,Bryant,Matt Bryant,K,2,0,0,0,2,4,5,2006,TB
3319,1670,MN-0800,KEEP,Mike,Nugent,Mike Nugent,K,2,2,0,0,8,5,2,2006,NYJ
3326,1673,RG-1500,KEEP,Robbie,Gould,Robbie Gould,K,3,1,0,0,6,6,2,2006,CHI
3329,1675,MN-0800,KEEP,Mike,Nugent,Mike Nugent,K,4,1,0,0,7,6,2,2006,NYJ
3335,1678,SG-0800,KEEP,Stephen,Gostkowski,Stephen Gostkowski,K,4,0,0,0,4,6,1,2006,NE
3337,1679,MB-4600,KEEP,Matt,Bryant,Matt Bryant,K,2,1,1,1,14,5,5,2006,TB
3349,1685,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,3,2,1,0,13,3,11,2006,IND
3365,1693,RG-1500,KEEP,Robbie,Gould,Robbie Gould,K,5,1,1,0,12,7,2,2006,CHI
3368,1694,MB-4600,KEEP,Matt,Bryant,Matt Bryant,K,0,0,1,0,4,6,5,2006,TB
3371,1696,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,2,2,2,0,16,4,11,2006,IND
3373,1697,MN-0800,KEEP,Mike,Nugent,Mike Nugent,K,1,1,1,0,8,7,2,2006,NYJ
3379,1700,SG-0800,KEEP,Stephen,Gostkowski,Stephen Gostkowski,K,5,1,0,0,8,7,1,2006,NE
3392,1707,RG-1500,KEEP,Robbie,Gould,Robbie Gould,K,1,2,0,0,7,8,2,2006,CHI
3395,1708,MB-4600,KEEP,Matt,Bryant,Matt Bryant,K,2,0,0,0,2,7,5,2006,TB
3404,1713,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,3,2,0,0,9,5,11,2006,IND
3405,1713,SG-0800,KEEP,Stephen,Gostkowski,Stephen Gostkowski,K,2,1,1,0,9,8,1,2006,NE
3410,1716,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,2,1,0,0,5,6,11,2006,IND
3412,1717,RG-1500,KEEP,Robbie,Gould,Robbie Gould,K,5,0,1,0,9,9,2,2006,CHI
