player,first,last,name,position1,start
CS-4462,Courtland,Sutton,Courtland Sutton,WR,2018
CW-3250,Cedrick,Wilson,Cedrick Wilson,WR,2018
DB-5912,Deontay,Burnett,Deontay Burnett,WR,2018
DC-0025,Deon,Cain,Deon Cain,WR,2018
DC-1418,D.J.,Chark,D.J. Chark,WR,2018
DH-1050,DaeSean,Hamilton,DaeSean Hamilton,WR,2018
DM-2850,D.J.,Moore,D.J. Moore,WR,2018
DP-1263,Dante,Pettis,Dante Pettis,WR,2018
DR-0550,Damion,Ratley,Damion Ratley,WR,2018
DS-0875,Da'Mari,Scott,Da'Mari Scott,WR,2018
JS-1350,Jaleel,Scott,Jaleel Scott,WR,2018
JW-0934,James,Washington,James Washington,WR,2018
JW-1050,Justin,Watson,Justin Watson,WR,2018
JW-5475,Javon,Wims,Javon Wims,WR,2018
KC-2375,Keke,Coutee,Keke Coutee,WR,2018
KH-2025,Khadarel,Hodge,Khadarel Hodge,WR,2018
