team,week,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
LAC,14,9,6,4,2,3,10,8,18,2,4,8,11,4,3,1,3,6,1,2,2
LAC,15,17,5,5,2,6,2,12,10,14,7,2,3,15,3,14,5,9,9,5,3
LAC,16,12,3,9,7,8,2,9,16,4,1,7,2,2,2,4,14,9,6,13,2
MIA,1,16,14,15,0,4,13,5,6,5,2,3,3,2,12,10,5,9,1,6,1
MIA,2,11,3,6,3,9,2,2,1,2,1,17,3,2,5,0,0,4,4,9,4
MIA,3,10,1,11,10,3,10,8,1,9,4,2,2,6,4,11,0,6,1,7,3
MIA,4,6,16,0,9,5,5,9,3,2,18,3,2,12,4,10,2,1,16,4,1
MIA,5,11,3,11,20,3,5,3,6,7,1,7,4,9,12,5,20,2,4,6,0
MIA,6,18,8,15,7,1,2,2,3,4,13,7,8,3,6,11,12,6,7,8,2
MIA,7,7,12,5,14,5,9,4,9,12,10,2,1,18,5,24,2,4,2,1,4
MIA,8,8,9,5,8,1,9,21,3,13,4,4,5,3,21,12,3,9,3,0,5
MIA,9,10,0,1,0,3,6,7,4,3,8,8,7,1,4,7,8,17,0,18,7
MIA,10,11,10,11,8,9,2,21,6,5,6,5,8,3,5,2,6,3,1,4,0
MIA,11,6,11,7,4,20,15,12,7,6,8,7,5,2,7,3,1,6,11,9,3
MIA,12,2,9,4,23,5,8,6,16,6,4,2,10,6,10,4,13,4,17,6,4
